benchmark_run_id,chunker,embedding,vector_store,retriever,reranker,evaluator,mode,query_count,chunk_count,embedding_dimension,embedding_latency_s,upsert_latency_s,avg_latency_ms,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_10,precision_at_5,recall_at_5_ci_low,recall_at_5_ci_high,category_recall_at_5,hit_examples,miss_examples,errors
mod_0001,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,local_offline_fallback,506,214,384,0.140182,1e-06,21.404815,0.784585,0.889328,0.93083,0.968379,0.842419,0.859099,0.710672,0.909042,0.950642,"{""general"": 0.763636, ""passport_dob"": 0.0, ""pnr"": 0.944444, ""rebooking"": 0.950311, ""refund"": 0.97449, ""ticketing"": 0.6875, ""voucher"": 1.0}","[{""query_id"": 1, ""query"": ""customer has multi pnr and received voucher email only for one pnr"", ""category"": ""voucher"", ""top_ids"": [163, 75, 124, 29, 195]}, {""query_id"": 2, ""query"": ""what is the difference between open ticket and voucher"", ""category"": ""voucher"", ""top_ids"": [119, 126, 120, 147, 125]}, {""query_id"": 3, ""query"": ""what is vi order"", ""category"": ""pnr"", ""top_ids"": [27, 193, 88, 60, 25]}, {""query_id"": 4, ""query"": ""how to display an old emd record"", ""category"": ""voucher"", ""top_ids"": [125, 136, 164, 41, 207]}, {""query_id"": 5, ""query"": ""what is sc script - rir message for manual and auto handling in travelport"", ""category"": ""pnr"", ""top_ids"": [120, 132, 10, 176, 160]}]","[{""query_id"": 34, ""query"": ""what are the systems used in flight irregularities"", ""category"": ""general"", ""top_ids"": [94, 81, 109, 150, 86]}, {""query_id"": 39, ""query"": ""how to add a remark"", ""category"": ""rebooking"", ""top_ids"": [125, 163, 133, 153, 162]}, {""query_id"": 41, ""query"": ""how to add osi & ssr"", ""category"": ""pnr"", ""top_ids"": [163, 48, 214, 7, 173]}, {""query_id"": 42, ""query"": ""how to add passport information and frequent flyer"", ""category"": ""passport_dob"", ""top_ids"": [163, 7, 173, 36, 202]}, {""query_id"": 51, ""query"": ""what are the main payment systems (psp) that arn currently uses"", ""category"": ""general"", ""top_ids"": [126, 81, 154, 6, 172]}, {""query_id"": 141, ""query"": ""what are the customer target groups"", ""category"": ""general"", ""top_ids"": [74, 31, 197, 57, 30]}, {""query_id"": 161, ""query"": ""how to handle retail loss approval for tl/managers/coordinators/cr"", ""category"": ""refund"", ""top_ids"": [41, 207, 43, 209, 9]}, {""query_id"": 185, ""query"": ""what is the command used to add the ticketing time limit"", ""category"": ""pnr"", ""top_ids"": [134, 149, 147, 153, 125]}, {""query_id"": 199, ""query"": ""how to check the baggage allowance in the fares priced"", ""category"": ""general"", ""top_ids"": [94, 86, 54, 46, 212]}, {""query_id"": 210, ""query"": ""steps for name correction or name change"", ""category"": ""general"", ""top_ids"": [37, 203, 39, 205, 38]}]",
mod_0002,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Qwen3:4B Rerank,overlap_relevance,local_offline_fallback,506,214,384,0.140182,1e-06,21.849369,0.79249,0.895257,0.928854,0.968379,0.847936,0.862664,0.71581,0.905138,0.950642,"{""general"": 0.781818, ""passport_dob"": 0.0, ""pnr"": 0.944444, ""rebooking"": 0.937888, ""refund"": 0.97449, ""ticketing"": 0.6875, ""voucher"": 1.0}","[{""query_id"": 1, ""query"": ""customer has multi pnr and received voucher email only for one pnr"", ""category"": ""voucher"", ""top_ids"": [163, 160, 75, 124, 29]}, {""query_id"": 2, ""query"": ""what is the difference between open ticket and voucher"", ""category"": ""voucher"", ""top_ids"": [119, 120, 126, 125, 147]}, {""query_id"": 3, ""query"": ""what is vi order"", ""category"": ""pnr"", ""top_ids"": [27, 193, 88, 60, 25]}, {""query_id"": 4, ""query"": ""how to display an old emd record"", ""category"": ""voucher"", ""top_ids"": [125, 136, 164, 41, 207]}, {""query_id"": 5, ""query"": ""what is sc script - rir message for manual and auto handling in travelport"", ""category"": ""pnr"", ""top_ids"": [132, 10, 176, 120, 160]}]","[{""query_id"": 34, ""query"": ""what are the systems used in flight irregularities"", ""category"": ""general"", ""top_ids"": [81, 86, 94, 109, 150]}, {""query_id"": 39, ""query"": ""how to add a remark"", ""category"": ""rebooking"", ""top_ids"": [125, 163, 133, 153, 162]}, {""query_id"": 41, ""query"": ""how to add osi & ssr"", ""category"": ""pnr"", ""top_ids"": [163, 48, 214, 7, 173]}, {""query_id"": 42, ""query"": ""how to add passport information and frequent flyer"", ""category"": ""passport_dob"", ""top_ids"": [163, 48, 214, 125, 23]}, {""query_id"": 51, ""query"": ""what are the main payment systems (psp) that arn currently uses"", ""category"": ""general"", ""top_ids"": [81, 126, 154, 6, 172]}, {""query_id"": 140, ""query"": ""how long does it take for a change to be reflected on the mybookings page"", ""category"": ""rebooking"", ""top_ids"": [153, 102, 163, 64, 125]}, {""query_id"": 141, ""query"": ""what are the customer target groups"", ""category"": ""general"", ""top_ids"": [74, 31, 197, 57, 30]}, {""query_id"": 161, ""query"": ""how to handle retail loss approval for tl/managers/coordinators/cr"", ""category"": ""refund"", ""top_ids"": [41, 207, 43, 209, 9]}, {""query_id"": 185, ""query"": ""what is the command used to add the ticketing time limit"", ""category"": ""pnr"", ""top_ids"": [134, 149, 153, 125, 160]}, {""query_id"": 199, ""query"": ""how to check the baggage allowance in the fares priced"", ""category"": ""general"", ""top_ids"": [94, 86, 54, 46, 212]}]",
mod_0003,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,bge-reranker-base,overlap_relevance,local_offline_fallback,506,214,384,0.140182,1e-06,21.469666,0.79249,0.895257,0.928854,0.968379,0.847936,0.8626,0.71581,0.905138,0.950642,"{""general"": 0.781818, ""passport_dob"": 0.0, ""pnr"": 0.944444, ""rebooking"": 0.937888, ""refund"": 0.97449, ""ticketing"": 0.6875, ""voucher"": 1.0}","[{""query_id"": 1, ""query"": ""customer has multi pnr and received voucher email only for one pnr"", ""category"": ""voucher"", ""top_ids"": [163, 160, 75, 124, 29]}, {""query_id"": 2, ""query"": ""what is the difference between open ticket and voucher"", ""category"": ""voucher"", ""top_ids"": [119, 120, 126, 125, 147]}, {""query_id"": 3, ""query"": ""what is vi order"", ""category"": ""pnr"", ""top_ids"": [27, 193, 88, 60, 25]}, {""query_id"": 4, ""query"": ""how to display an old emd record"", ""category"": ""voucher"", ""top_ids"": [125, 136, 164, 41, 207]}, {""query_id"": 5, ""query"": ""what is sc script - rir message for manual and auto handling in travelport"", ""category"": ""pnr"", ""top_ids"": [132, 10, 176, 160, 40]}]","[{""query_id"": 34, ""query"": ""what are the systems used in flight irregularities"", ""category"": ""general"", ""top_ids"": [81, 86, 94, 109, 150]}, {""query_id"": 39, ""query"": ""how to add a remark"", ""category"": ""rebooking"", ""top_ids"": [125, 163, 133, 153, 162]}, {""query_id"": 41, ""query"": ""how to add osi & ssr"", ""category"": ""pnr"", ""top_ids"": [163, 48, 214, 7, 173]}, {""query_id"": 42, ""query"": ""how to add passport information and frequent flyer"", ""category"": ""passport_dob"", ""top_ids"": [163, 48, 214, 125, 23]}, {""query_id"": 51, ""query"": ""what are the main payment systems (psp) that arn currently uses"", ""category"": ""general"", ""top_ids"": [81, 126, 154, 6, 172]}, {""query_id"": 140, ""query"": ""how long does it take for a change to be reflected on the mybookings page"", ""category"": ""rebooking"", ""top_ids"": [153, 102, 163, 64, 125]}, {""query_id"": 141, ""query"": ""what are the customer target groups"", ""category"": ""general"", ""top_ids"": [74, 31, 197, 57, 30]}, {""query_id"": 161, ""query"": ""how to handle retail loss approval for tl/managers/coordinators/cr"", ""category"": ""refund"", ""top_ids"": [41, 207, 43, 209, 9]}, {""query_id"": 185, ""query"": ""what is the command used to add the ticketing time limit"", ""category"": ""pnr"", ""top_ids"": [134, 149, 153, 125, 160]}, {""query_id"": 199, ""query"": ""how to check the baggage allowance in the fares priced"", ""category"": ""general"", ""top_ids"": [94, 86, 54, 46, 212]}]",
mod_0004,entity_heuristic_w6,jina_v3,PGVector,dense_cosine,Amazon Rerank v1,overlap_relevance,local_offline_fallback,506,214,384,0.140182,1e-06,22.04833,0.784585,0.889328,0.93083,0.968379,0.842419,0.859099,0.710672,0.909042,0.950642,"{""general"": 0.763636, ""passport_dob"": 0.0, ""pnr"": 0.944444, ""rebooking"": 0.950311, ""refund"": 0.97449, ""ticketing"": 0.6875, ""voucher"": 1.0}","[{""query_id"": 1, ""query"": ""customer has multi pnr and received voucher email only for one pnr"", ""category"": ""voucher"", ""top_ids"": [163, 75, 124, 29, 195]}, {""query_id"": 2, ""query"": ""what is the difference between open ticket and voucher"", ""category"": ""voucher"", ""top_ids"": [119, 126, 120, 147, 125]}, {""query_id"": 3, ""query"": ""what is vi order"", ""category"": ""pnr"", ""top_ids"": [27, 193, 88, 60, 25]}, {""query_id"": 4, ""query"": ""how to display an old emd record"", ""category"": ""voucher"", ""top_ids"": [125, 136, 164, 41, 207]}, {""query_id"": 5, ""query"": ""what is sc script - rir message for manual and auto handling in travelport"", ""category"": ""pnr"", ""top_ids"": [120, 132, 10, 176, 160]}]","[{""query_id"": 34, ""query"": ""what are the systems used in flight irregularities"", ""category"": ""general"", ""top_ids"": [94, 81, 109, 150, 86]}, {""query_id"": 39, ""query"": ""how to add a remark"", ""category"": ""rebooking"", ""top_ids"": [125, 163, 133, 153, 162]}, {""query_id"": 41, ""query"": ""how to add osi & ssr"", ""category"": ""pnr"", ""top_ids"": [163, 48, 214, 7, 173]}, {""query_id"": 42, ""query"": ""how to add passport information and frequent flyer"", ""category"": ""passport_dob"", ""top_ids"": [163, 7, 173, 36, 202]}, {""query_id"": 51, ""query"": ""what are the main payment systems (psp) that arn currently uses"", ""category"": ""general"", ""top_ids"": [126, 81, 154, 6, 172]}, {""query_id"": 141, ""query"": ""what are the customer target groups"", ""category"": ""general"", ""top_ids"": [74, 31, 197, 57, 30]}, {""query_id"": 161, ""query"": ""how to handle retail loss approval for tl/managers/coordinators/cr"", ""category"": ""refund"", ""top_ids"": [41, 207, 43, 209, 9]}, {""query_id"": 185, ""query"": ""what is the command used to add the ticketing time limit"", ""category"": ""pnr"", ""top_ids"": [134, 149, 147, 153, 125]}, {""query_id"": 199, ""query"": ""how to check the baggage allowance in the fares priced"", ""category"": ""general"", ""top_ids"": [94, 86, 54, 46, 212]}, {""query_id"": 210, ""query"": ""steps for name correction or name change"", ""category"": ""general"", ""top_ids"": [37, 203, 39, 205, 38]}]",
mod_0005,entity_heuristic_w6,jina_v3,PGVector,dense_cosine,Qwen3:4B Rerank,overlap_relevance,local_offline_fallback,506,214,384,0.140182,1e-06,21.478863,0.79249,0.895257,0.928854,0.968379,0.847936,0.862664,0.71581,0.905138,0.950642,"{""general"": 0.781818, ""passport_dob"": 0.0, ""pnr"": 0.944444, ""rebooking"": 0.937888, ""refund"": 0.97449, ""ticketing"": 0.6875, ""voucher"": 1.0}","[{""query_id"": 1, ""query"": ""customer has multi pnr and received voucher email only for one pnr"", ""category"": ""voucher"", ""top_ids"": [163, 160, 75, 124, 29]}, {""query_id"": 2, ""query"": ""what is the difference between open ticket and voucher"", ""category"": ""voucher"", ""top_ids"": [119, 120, 126, 125, 147]}, {""query_id"": 3, ""query"": ""what is vi order"", ""category"": ""pnr"", ""top_ids"": [27, 193, 88, 60, 25]}, {""query_id"": 4, ""query"": ""how to display an old emd record"", ""category"": ""voucher"", ""top_ids"": [125, 136, 164, 41, 207]}, {""query_id"": 5, ""query"": ""what is sc script - rir message for manual and auto handling in travelport"", ""category"": ""pnr"", ""top_ids"": [132, 10, 176, 120, 160]}]","[{""query_id"": 34, ""query"": ""what are the systems used in flight irregularities"", ""category"": ""general"", ""top_ids"": [81, 86, 94, 109, 150]}, {""query_id"": 39, ""query"": ""how to add a remark"", ""category"": ""rebooking"", ""top_ids"": [125, 163, 133, 153, 162]}, {""query_id"": 41, ""query"": ""how to add osi & ssr"", ""category"": ""pnr"", ""top_ids"": [163, 48, 214, 7, 173]}, {""query_id"": 42, ""query"": ""how to add passport information and frequent flyer"", ""category"": ""passport_dob"", ""top_ids"": [163, 48, 214, 125, 23]}, {""query_id"": 51, ""query"": ""what are the main payment systems (psp) that arn currently uses"", ""category"": ""general"", ""top_ids"": [81, 126, 154, 6, 172]}, {""query_id"": 140, ""query"": ""how long does it take for a change to be reflected on the mybookings page"", ""category"": ""rebooking"", ""top_ids"": [153, 102, 163, 64, 125]}, {""query_id"": 141, ""query"": ""what are the customer target groups"", ""category"": ""general"", ""top_ids"": [74, 31, 197, 57, 30]}, {""query_id"": 161, ""query"": ""how to handle retail loss approval for tl/managers/coordinators/cr"", ""category"": ""refund"", ""top_ids"": [41, 207, 43, 209, 9]}, {""query_id"": 185, ""query"": ""what is the command used to add the ticketing time limit"", ""category"": ""pnr"", ""top_ids"": [134, 149, 153, 125, 160]}, {""query_id"": 199, ""query"": ""how to check the baggage allowance in the fares priced"", ""category"": ""general"", ""top_ids"": [94, 86, 54, 46, 212]}]",
mod_0006,entity_heuristic_w6,jina_v3,PGVector,dense_cosine,bge-reranker-base,overlap_relevance,local_offline_fallback,506,214,384,0.140182,1e-06,21.254184,0.79249,0.895257,0.928854,0.968379,0.847936,0.8626,0.71581,0.905138,0.950642,"{""general"": 0.781818, ""passport_dob"": 0.0, ""pnr"": 0.944444, ""rebooking"": 0.937888, ""refund"": 0.97449, ""ticketing"": 0.6875, ""voucher"": 1.0}","[{""query_id"": 1, ""query"": ""customer has multi pnr and received voucher email only for one pnr"", ""category"": ""voucher"", ""top_ids"": [163, 160, 75, 124, 29]}, {""query_id"": 2, ""query"": ""what is the difference between open ticket and voucher"", ""category"": ""voucher"", ""top_ids"": [119, 120, 126, 125, 147]}, {""query_id"": 3, ""query"": ""what is vi order"", ""category"": ""pnr"", ""top_ids"": [27, 193, 88, 60, 25]}, {""query_id"": 4, ""query"": ""how to display an old emd record"", ""category"": ""voucher"", ""top_ids"": [125, 136, 164, 41, 207]}, {""query_id"": 5, ""query"": ""what is sc script - rir message for manual and auto handling in travelport"", ""category"": ""pnr"", ""top_ids"": [132, 10, 176, 160, 40]}]","[{""query_id"": 34, ""query"": ""what are the systems used in flight irregularities"", ""category"": ""general"", ""top_ids"": [81, 86, 94, 109, 150]}, {""query_id"": 39, ""query"": ""how to add a remark"", ""category"": ""rebooking"", ""top_ids"": [125, 163, 133, 153, 162]}, {""query_id"": 41, ""query"": ""how to add osi & ssr"", ""category"": ""pnr"", ""top_ids"": [163, 48, 214, 7, 173]}, {""query_id"": 42, ""query"": ""how to add passport information and frequent flyer"", ""category"": ""passport_dob"", ""top_ids"": [163, 48, 214, 125, 23]}, {""query_id"": 51, ""query"": ""what are the main payment systems (psp) that arn currently uses"", ""category"": ""general"", ""top_ids"": [81, 126, 154, 6, 172]}, {""query_id"": 140, ""query"": ""how long does it take for a change to be reflected on the mybookings page"", ""category"": ""rebooking"", ""top_ids"": [153, 102, 163, 64, 125]}, {""query_id"": 141, ""query"": ""what are the customer target groups"", ""category"": ""general"", ""top_ids"": [74, 31, 197, 57, 30]}, {""query_id"": 161, ""query"": ""how to handle retail loss approval for tl/managers/coordinators/cr"", ""category"": ""refund"", ""top_ids"": [41, 207, 43, 209, 9]}, {""query_id"": 185, ""query"": ""what is the command used to add the ticketing time limit"", ""category"": ""pnr"", ""top_ids"": [134, 149, 153, 125, 160]}, {""query_id"": 199, ""query"": ""how to check the baggage allowance in the fares priced"", ""category"": ""general"", ""top_ids"": [94, 86, 54, 46, 212]}]",
mod_0007,entity_heuristic_w6,jina_v3,Weaviate,dense_cosine,Amazon Rerank v1,overlap_relevance,local_offline_fallback,506,214,384,0.140182,1e-06,21.201161,0.784585,0.889328,0.93083,0.968379,0.842419,0.859099,0.710672,0.909042,0.950642,"{""general"": 0.763636, ""passport_dob"": 0.0, ""pnr"": 0.944444, ""rebooking"": 0.950311, ""refund"": 0.97449, ""ticketing"": 0.6875, ""voucher"": 1.0}","[{""query_id"": 1, ""query"": ""customer has multi pnr and received voucher email only for one pnr"", ""category"": ""voucher"", ""top_ids"": [163, 75, 124, 29, 195]}, {""query_id"": 2, ""query"": ""what is the difference between open ticket and voucher"", ""category"": ""voucher"", ""top_ids"": [119, 126, 120, 147, 125]}, {""query_id"": 3, ""query"": ""what is vi order"", ""category"": ""pnr"", ""top_ids"": [27, 193, 88, 60, 25]}, {""query_id"": 4, ""query"": ""how to display an old emd record"", ""category"": ""voucher"", ""top_ids"": [125, 136, 164, 41, 207]}, {""query_id"": 5, ""query"": ""what is sc script - rir message for manual and auto handling in travelport"", ""category"": ""pnr"", ""top_ids"": [120, 132, 10, 176, 160]}]","[{""query_id"": 34, ""query"": ""what are the systems used in flight irregularities"", ""category"": ""general"", ""top_ids"": [94, 81, 109, 150, 86]}, {""query_id"": 39, ""query"": ""how to add a remark"", ""category"": ""rebooking"", ""top_ids"": [125, 163, 133, 153, 162]}, {""query_id"": 41, ""query"": ""how to add osi & ssr"", ""category"": ""pnr"", ""top_ids"": [163, 48, 214, 7, 173]}, {""query_id"": 42, ""query"": ""how to add passport information and frequent flyer"", ""category"": ""passport_dob"", ""top_ids"": [163, 7, 173, 36, 202]}, {""query_id"": 51, ""query"": ""what are the main payment systems (psp) that arn currently uses"", ""category"": ""general"", ""top_ids"": [126, 81, 154, 6, 172]}, {""query_id"": 141, ""query"": ""what are the customer target groups"", ""category"": ""general"", ""top_ids"": [74, 31, 197, 57, 30]}, {""query_id"": 161, ""query"": ""how to handle retail loss approval for tl/managers/coordinators/cr"", ""category"": ""refund"", ""top_ids"": [41, 207, 43, 209, 9]}, {""query_id"": 185, ""query"": ""what is the command used to add the ticketing time limit"", ""category"": ""pnr"", ""top_ids"": [134, 149, 147, 153, 125]}, {""query_id"": 199, ""query"": ""how to check the baggage allowance in the fares priced"", ""category"": ""general"", ""top_ids"": [94, 86, 54, 46, 212]}, {""query_id"": 210, ""query"": ""steps for name correction or name change"", ""category"": ""general"", ""top_ids"": [37, 203, 39, 205, 38]}]",
mod_0008,entity_heuristic_w6,jina_v3,Weaviate,dense_cosine,Qwen3:4B Rerank,overlap_relevance,local_offline_fallback,506,214,384,0.140182,1e-06,21.857569,0.79249,0.895257,0.928854,0.968379,0.847936,0.862664,0.71581,0.905138,0.950642,"{""general"": 0.781818, ""passport_dob"": 0.0, ""pnr"": 0.944444, ""rebooking"": 0.937888, ""refund"": 0.97449, ""ticketing"": 0.6875, ""voucher"": 1.0}","[{""query_id"": 1, ""query"": ""customer has multi pnr and received voucher email only for one pnr"", ""category"": ""voucher"", ""top_ids"": [163, 160, 75, 124, 29]}, {""query_id"": 2, ""query"": ""what is the difference between open ticket and voucher"", ""category"": ""voucher"", ""top_ids"": [119, 120, 126, 125, 147]}, {""query_id"": 3, ""query"": ""what is vi order"", ""category"": ""pnr"", ""top_ids"": [27, 193, 88, 60, 25]}, {""query_id"": 4, ""query"": ""how to display an old emd record"", ""category"": ""voucher"", ""top_ids"": [125, 136, 164, 41, 207]}, {""query_id"": 5, ""query"": ""what is sc script - rir message for manual and auto handling in travelport"", ""category"": ""pnr"", ""top_ids"": [132, 10, 176, 120, 160]}]","[{""query_id"": 34, ""query"": ""what are the systems used in flight irregularities"", ""category"": ""general"", ""top_ids"": [81, 86, 94, 109, 150]}, {""query_id"": 39, ""query"": ""how to add a remark"", ""category"": ""rebooking"", ""top_ids"": [125, 163, 133, 153, 162]}, {""query_id"": 41, ""query"": ""how to add osi & ssr"", ""category"": ""pnr"", ""top_ids"": [163, 48, 214, 7, 173]}, {""query_id"": 42, ""query"": ""how to add passport information and frequent flyer"", ""category"": ""passport_dob"", ""top_ids"": [163, 48, 214, 125, 23]}, {""query_id"": 51, ""query"": ""what are the main payment systems (psp) that arn currently uses"", ""category"": ""general"", ""top_ids"": [81, 126, 154, 6, 172]}, {""query_id"": 140, ""query"": ""how long does it take for a change to be reflected on the mybookings page"", ""category"": ""rebooking"", ""top_ids"": [153, 102, 163, 64, 125]}, {""query_id"": 141, ""query"": ""what are the customer target groups"", ""category"": ""general"", ""top_ids"": [74, 31, 197, 57, 30]}, {""query_id"": 161, ""query"": ""how to handle retail loss approval for tl/managers/coordinators/cr"", ""category"": ""refund"", ""top_ids"": [41, 207, 43, 209, 9]}, {""query_id"": 185, ""query"": ""what is the command used to add the ticketing time limit"", ""category"": ""pnr"", ""top_ids"": [134, 149, 153, 125, 160]}, {""query_id"": 199, ""query"": ""how to check the baggage allowance in the fares priced"", ""category"": ""general"", ""top_ids"": [94, 86, 54, 46, 212]}]",
mod_0009,entity_heuristic_w6,jina_v3,Weaviate,dense_cosine,bge-reranker-base,overlap_relevance,local_offline_fallback,506,214,384,0.140182,1e-06,21.538439,0.79249,0.895257,0.928854,0.968379,0.847936,0.8626,0.71581,0.905138,0.950642,"{""general"": 0.781818, ""passport_dob"": 0.0, ""pnr"": 0.944444, ""rebooking"": 0.937888, ""refund"": 0.97449, ""ticketing"": 0.6875, ""voucher"": 1.0}","[{""query_id"": 1, ""query"": ""customer has multi pnr and received voucher email only for one pnr"", ""category"": ""voucher"", ""top_ids"": [163, 160, 75, 124, 29]}, {""query_id"": 2, ""query"": ""what is the difference between open ticket and voucher"", ""category"": ""voucher"", ""top_ids"": [119, 120, 126, 125, 147]}, {""query_id"": 3, ""query"": ""what is vi order"", ""category"": ""pnr"", ""top_ids"": [27, 193, 88, 60, 25]}, {""query_id"": 4, ""query"": ""how to display an old emd record"", ""category"": ""voucher"", ""top_ids"": [125, 136, 164, 41, 207]}, {""query_id"": 5, ""query"": ""what is sc script - rir message for manual and auto handling in travelport"", ""category"": ""pnr"", ""top_ids"": [132, 10, 176, 160, 40]}]","[{""query_id"": 34, ""query"": ""what are the systems used in flight irregularities"", ""category"": ""general"", ""top_ids"": [81, 86, 94, 109, 150]}, {""query_id"": 39, ""query"": ""how to add a remark"", ""category"": ""rebooking"", ""top_ids"": [125, 163, 133, 153, 162]}, {""query_id"": 41, ""query"": ""how to add osi & ssr"", ""category"": ""pnr"", ""top_ids"": [163, 48, 214, 7, 173]}, {""query_id"": 42, ""query"": ""how to add passport information and frequent flyer"", ""category"": ""passport_dob"", ""top_ids"": [163, 48, 214, 125, 23]}, {""query_id"": 51, ""query"": ""what are the main payment systems (psp) that arn currently uses"", ""category"": ""general"", ""top_ids"": [81, 126, 154, 6, 172]}, {""query_id"": 140, ""query"": ""how long does it take for a change to be reflected on the mybookings page"", ""category"": ""rebooking"", ""top_ids"": [153, 102, 163, 64, 125]}, {""query_id"": 141, ""query"": ""what are the customer target groups"", ""category"": ""general"", ""top_ids"": [74, 31, 197, 57, 30]}, {""query_id"": 161, ""query"": ""how to handle retail loss approval for tl/managers/coordinators/cr"", ""category"": ""refund"", ""top_ids"": [41, 207, 43, 209, 9]}, {""query_id"": 185, ""query"": ""what is the command used to add the ticketing time limit"", ""category"": ""pnr"", ""top_ids"": [134, 149, 153, 125, 160]}, {""query_id"": 199, ""query"": ""how to check the baggage allowance in the fares priced"", ""category"": ""general"", ""top_ids"": [94, 86, 54, 46, 212]}]",
mod_0010,entity_heuristic_w6,gte_multilingual_base,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,local_offline_fallback,506,214,384,0.132955,1e-06,21.245103,0.77668,0.883399,0.932806,0.972332,0.835653,0.858926,0.726087,0.913043,0.956522,"{""general"": 0.854545, ""passport_dob"": 0.0, ""pnr"": 0.962963, ""rebooking"": 0.962733, ""refund"": 0.94898, ""ticketing"": 0.625, ""voucher"": 0.956522}","[{""query_id"": 1, ""query"": ""customer has multi pnr and received voucher email only for one pnr"", ""category"": ""voucher"", ""top_ids"": [29, 195, 124, 75, 163]}, {""query_id"": 2, ""query"": ""what is the difference between open ticket and voucher"", ""category"": ""voucher"", ""top_ids"": [119, 126, 120, 147, 101]}, {""query_id"": 3, ""query"": ""what is vi order"", ""category"": ""pnr"", ""top_ids"": [27, 193, 82, 2, 168]}, {""query_id"": 4, ""query"": ""how to display an old emd record"", ""category"": ""voucher"", ""top_ids"": [125, 41, 207, 131, 102]}, {""query_id"": 5, ""query"": ""what is sc script - rir message for manual and auto handling in travelport"", ""category"": ""pnr"", ""top_ids"": [132, 120, 158, 160, 10]}]","[{""query_id"": 17, ""query"": ""how many 2nd line support teams are there"", ""category"": ""refund"", ""top_ids"": [159, 70, 40, 206, 71]}, {""query_id"": 34, ""query"": ""what are the systems used in flight irregularities"", ""category"": ""general"", ""top_ids"": [153, 81, 64, 121, 162]}, {""query_id"": 38, ""query"": ""how to add a ghostline"", ""category"": ""pnr"", ""top_ids"": [163, 125, 133, 41, 207]}, {""query_id"": 42, ""query"": ""how to add passport information and frequent flyer"", ""category"": ""passport_dob"", ""top_ids"": [163, 28, 194, 125, 7]}, {""query_id"": 51, ""query"": ""what are the main payment systems (psp) that arn currently uses"", ""category"": ""general"", ""top_ids"": [81, 124, 23, 189, 25]}, {""query_id"": 52, ""query"": ""which errand should be used to retrieve or reset my credentials"", ""category"": ""refund"", ""top_ids"": [99, 36, 202, 135, 121]}, {""query_id"": 140, ""query"": ""how long does it take for a change to be reflected on the mybookings page"", ""category"": ""rebooking"", ""top_ids"": [163, 153, 102, 128, 125]}, {""query_id"": 161, ""query"": ""how to handle retail loss approval for tl/managers/coordinators/cr"", ""category"": ""refund"", ""top_ids"": [43, 209, 41, 207, 45]}, {""query_id"": 194, ""query"": ""how to add seating"", ""category"": ""pnr"", ""top_ids"": [163, 45, 211, 48, 214]}, {""query_id"": 210, ""query"": ""steps for name correction or name change"", ""category"": ""general"", ""top_ids"": [122, 39, 205, 38, 204]}]",
